src,tgt
C1CCOC1.CC(C)C[AlH]CC(C)C,C1CCOC1~CC(C)C[AlH]CC(C)C
CC(C)C[AlH]CC(C)C,CC(C)C[AlH]CC(C)C~CC(C)C[AlH]CC(C)C
CC(C)C[AlH2-]CC(C)C~[Li+],CC(C)C[AlH]CC(C)C~[Li]
CC(C)(C)O[AlH-](OC(C)(C)C)OC(C)(C)C~[Li+],CC(C)(C)O[Al-](OC(C)(C)C)OC(C)(C)C~[Li+]
COCCO[AlH2-]OCCOC~[Na+].Cc1ccccc1,COCCO[AlH]OCCOC~Cc1ccccc1~[Na]
C[Al](C)C.Cc1ccccc1,C[Al](C)C~Cc1ccccc1
C1CCOC1.[AlH4-]~[Li+],C1CCOC1~[AlH4-]~[Li+]
CCCCCC.C[Al](C)C,CCCCCC~C[Al](C)C
O=[Si]=O~O=[Si]=O~O=[Si]=O~O=[Al]O[Al]=O~O=[Al]O[Al]=O,[Al+3]~[Al+3]~[Al+3]~[Al+3]~[O-][Si]([O-])([O-])[O-]~[O-][Si]([O-])([O-])[O-]~[O-][Si]([O-])([O-])[O-]
O=S1(=O)O[Al](OS(=O)(=O)O[Al]2OS(=O)(=O)O2)O1,O=S(=O)([O-])[O-]~O=S(=O)([O-])[O-]~O=S(=O)([O-])[O-]~[Al+3]~[Al+3]
C[Al](C)NCC(F)(F)F,C[Al+]C~[NH-]CC(F)(F)F
[AlH3],[Al+3]~[H-]~[H-]~[H-]
[F-]~[K+]~O=[Al]O[Al]=O,O=[Al]O[Al]=O~[F-]~[K+]
[AlH4-]~[Li+],[Al+3]~[Al+3]~[H-]~[H-]~[H-]~[H-]~[H-]~[H-]~[H-]~[H-]~[Li+]~[Li+]
[AlH4-]~[Li+],[AlH4-]~[AlH4-]~[Li+]~[Li+]
Cl[Al](Cl)Cl,Cl[Al](Cl)Cl~Cl[Al](Cl)Cl
O[Al-](O)(O)O~[Li+],[Al+3]~[Li+]~[OH-]~[OH-]~[OH-]~[OH-]
Cl[Al](Cl)Cl,Cl[Al](Cl)Cl~O~O~O~O~O~O
O=[Al]O[Al]=O,O=[Al](=O)=O
[AlH4-]~[Li+],[AlH4-]~[AlH4-]~[AlH4-]~[Li+]~[Li+]~[Li+]
O=[Cr]1O[Cu]O1,O=[Cr]([O-])[O-]~[Cu+2]
CC(C)(C)O.O=[Os](=O)(=O)=O,CC(C)(C)O~O=[Os](=O)(=O)=O
O=[Os](=O)(O[K])O[K],O~O~O=[Os-2](=O)(O)(O)(O)O~[K+]~[K+]
O=[Os](=O)(O[K])O[K],O=[Os-2](=O)(O)(O)(O)O~[K+]~[K+]
O=[Os](=O)(O[K])O[K],O~O~O=[Os](=O)([O-])[O-]~[K+]~[K+]
O=[Os](=O)(=O)=O,O~O=[Os](=O)(=O)=O
